timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-06-01T00:34:36Z,15d28d7c-cd1d-4b4d-97db-d6f45d7070bb,aer_simulator,CPU,4,0010,2,3,6,6,6,False,exito,3,2,0.9,1024,0010,995,995,True,1.048834,1.047762,14
2026-06-01T00:34:37Z,b3aa7e85-82c0-4495-95fe-1b7b100a49d5,aer_simulator,CPU,4,1100,12,3,6,6,6,False,exito,3,2,0.9,1024,1100,998,998,True,1.068671,1.06759,14
2026-06-01T00:34:38Z,5dd1b550-5f87-4a58-addb-8f372c675333,aer_simulator,CPU,4,0011,3,3,6,6,6,False,exito,3,2,0.9,1024,0011,996,996,True,1.04729,1.046226,14
2026-06-01T00:34:39Z,2ad8dbb7-d47a-40c5-aad0-025853a093b7,aer_simulator,CPU,4,0010,2,3,6,6,6,False,exito,3,2,0.9,1024,0010,995,995,True,1.065584,1.064466,14
2026-06-01T00:34:40Z,5dd515d9-22b5-4d10-8dfd-ffa22e93f2d2,aer_simulator,CPU,4,1100,12,3,6,6,6,False,exito,3,2,0.9,1024,1100,998,998,True,1.027455,1.026407,14
2026-06-01T00:34:41Z,70e708be-c402-487e-bce9-4e75171b857c,aer_simulator,CPU,4,0101,5,3,6,6,6,False,exito,3,2,0.9,1024,0101,997,997,True,1.068357,1.06731,14
2026-06-01T00:34:42Z,ad9af61a-99ec-4272-8367-fcfbc15faf2e,aer_simulator,CPU,4,0111,7,3,6,6,6,False,exito,3,2,0.9,1024,0111,996,996,True,1.060021,1.058958,14
2026-06-01T00:34:43Z,67eded9a-b1b9-4bf0-a739-e954725f56dc,aer_simulator,CPU,4,0011,3,3,6,6,6,False,exito,3,2,0.9,1024,0011,996,996,True,1.047813,1.046629,14
2026-06-01T00:34:44Z,fa5ba7eb-8b78-4239-9b6e-11eb8f53be00,aer_simulator,CPU,4,0011,3,3,6,6,6,False,exito,3,2,0.9,1024,0011,996,996,True,1.050298,1.049178,14
2026-06-01T00:34:45Z,9a0addbb-0c87-43d3-831a-df1d48b9e98f,aer_simulator,CPU,4,0111,7,3,6,6,6,False,exito,3,2,0.9,1024,0111,996,996,True,1.035847,1.03479,14
