timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-06-01T00:35:59Z,e90621d1-dbe9-40ba-8eb0-a92a9bbc965c,aer_simulator,CPU,8,11010000,208,12,24,24,24,False,exito,12,10,0.9,1024,11010000,1024,1024,True,4.520427,4.51931,50
2026-06-01T00:36:04Z,26d1766d-7a50-4336-899a-c0db3bb55625,aer_simulator,CPU,8,11011001,217,12,24,24,24,False,exito,12,10,0.9,1024,11011001,1024,1024,True,4.597989,4.596953,50
2026-06-01T00:36:08Z,244ad839-b270-40e9-877f-4c63012d7338,aer_simulator,CPU,8,00111111,63,12,24,24,24,False,exito,12,10,0.9,1024,00111111,1024,1024,True,4.608906,4.607838,50
2026-06-01T00:36:13Z,8958ebcf-954a-47de-8db2-6cb7220cc972,aer_simulator,CPU,8,00110101,53,12,24,24,24,False,exito,12,10,0.9,1024,00110101,1024,1024,True,4.568173,4.567089,50
2026-06-01T00:36:17Z,71b9993f-93ac-489b-baaf-77efac06707d,aer_simulator,CPU,8,00010011,19,12,24,24,24,False,exito,12,10,0.9,1024,00010011,1024,1024,True,4.563777,4.562692,50
2026-06-01T00:36:22Z,5a3aea85-f4f2-425e-b122-d254b3f6df89,aer_simulator,CPU,8,01111111,127,12,24,24,24,False,exito,12,10,0.9,1024,01111111,1024,1024,True,4.486051,4.484978,50
2026-06-01T00:36:26Z,69457334-261a-4112-83c9-8ecaed74c6dd,aer_simulator,CPU,8,01001010,74,12,24,24,24,False,exito,12,10,0.9,1024,01001010,1024,1024,True,4.651586,4.650514,50
2026-06-01T00:36:31Z,0f0bcf46-17e8-4471-93e0-3b8ecfaec675,aer_simulator,CPU,8,00000101,5,12,24,24,24,False,exito,12,10,0.9,1024,00000101,1024,1024,True,4.603092,4.60198,50
2026-06-01T00:36:36Z,f18589dc-461e-4919-8c8e-113cbe634f4e,aer_simulator,CPU,8,01110011,115,12,24,24,24,False,exito,12,10,0.9,1024,01110011,1024,1024,True,4.568783,4.567692,50
2026-06-01T00:36:40Z,fef15787-e766-4e40-ab60-c3c6df8f6f1d,aer_simulator,CPU,8,00010011,19,12,24,24,24,False,exito,12,10,0.9,1024,00010011,1024,1024,True,4.529045,4.527948,50
2026-06-01T00:36:45Z,48104938-972b-40bd-b04b-f13bb763031b,aer_simulator,CPU,8,01010110,86,12,24,24,24,False,exito,12,10,0.9,1024,01010110,1024,1024,True,4.469758,4.468697,50
2026-06-01T00:36:49Z,82310e9a-4497-46aa-99e8-3fe1ca735c33,aer_simulator,CPU,8,00100100,36,12,24,24,24,False,exito,12,10,0.9,1024,00100100,1024,1024,True,4.577851,4.576745,50
