timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-07-05T22:53:46Z,b16ff150-e832-4577-a253-fb66bcc9d217,aer_simulator,CPU,6,100000,32,6,12,12,12,False,exito,6,5,0.9,1024,100000,1021,1021,True,2.145577,2.14418,26
2026-07-05T22:53:49Z,5d6f300c-6e39-4db5-b7dc-039b13905620,aer_simulator,CPU,6,111011,59,6,12,12,12,False,exito,6,5,0.9,1024,111011,1022,1022,True,2.077432,2.076182,26
2026-07-05T22:53:51Z,5a191cec-29f2-4dad-aba9-f0326a8bba95,aer_simulator,CPU,6,111101,61,6,12,12,12,False,exito,6,5,0.9,1024,111101,1022,1022,True,2.091272,2.090145,26
2026-07-05T22:53:53Z,4b927baf-d8dd-49d0-8e56-ba5840135743,aer_simulator,CPU,6,100111,39,6,12,12,12,False,exito,6,5,0.9,1024,100111,1021,1021,True,2.172233,2.170988,26
2026-07-05T22:53:55Z,750c4c51-1dd8-455a-9321-c0132d20db51,aer_simulator,CPU,6,010010,18,6,12,12,12,False,exito,6,5,0.9,1024,010010,1021,1021,True,2.205739,2.204442,26
2026-07-05T22:53:57Z,60a90e56-bf03-4150-9ff8-bb0e45b469c9,aer_simulator,CPU,6,010000,16,6,12,12,12,False,exito,6,5,0.9,1024,010000,1021,1021,True,2.100056,2.098725,26
2026-07-05T22:53:59Z,8da3d3f4-709c-47f1-8f64-5015435a801b,aer_simulator,CPU,6,001010,10,6,12,12,12,False,exito,6,5,0.9,1024,001010,1023,1023,True,2.090002,2.088779,26
2026-07-05T22:54:01Z,99b25863-a61f-4556-b45b-188f649b9cb1,aer_simulator,CPU,6,011000,24,6,12,12,12,False,exito,6,5,0.9,1024,011000,1021,1021,True,2.115679,2.114431,26
2026-07-05T22:54:04Z,abd2988e-2735-4f6f-8228-bcd1f046cf30,aer_simulator,CPU,6,101000,40,6,12,12,12,False,exito,6,5,0.9,1024,101000,1021,1021,True,2.283789,2.28239,26
2026-07-05T22:54:06Z,d30a2ed4-f62e-457d-8e3c-86663e765976,aer_simulator,CPU,6,101010,42,6,12,12,12,False,exito,6,5,0.9,1024,101010,1021,1021,True,2.235077,2.233576,26
2026-07-05T22:54:08Z,f9bae333-6af7-4aa1-9839-576d3c37380f,aer_simulator,CPU,6,101101,45,6,12,12,12,False,exito,6,5,0.9,1024,101101,1021,1021,True,2.152376,2.151069,26
2026-07-05T22:54:10Z,a4c68ecf-8991-4d80-8c90-5c23780a111d,aer_simulator,CPU,6,101000,40,6,12,12,12,False,exito,6,5,0.9,1024,101000,1021,1021,True,2.096178,2.095005,26
2026-07-05T22:54:12Z,b103d8e8-6cfa-4815-a01e-d79bc0d9433a,aer_simulator,CPU,6,110111,55,6,12,12,12,False,exito,6,5,0.9,1024,110111,1022,1022,True,2.081271,2.080105,26
2026-07-05T22:54:14Z,1f827968-b967-4e15-988b-16c788219130,aer_simulator,CPU,6,000011,3,6,12,12,12,False,exito,6,5,0.9,1024,000011,1023,1023,True,2.267145,2.265904,26
2026-07-05T22:54:17Z,ebb3cd94-e1b3-4226-8f58-0b4103956156,aer_simulator,CPU,6,110110,54,6,12,12,12,False,exito,6,5,0.9,1024,110110,1022,1022,True,2.23428,2.232946,26
2026-07-05T22:54:19Z,5358b27b-96a0-429d-b766-496450858a1e,aer_simulator,CPU,6,100010,34,6,12,12,12,False,exito,6,5,0.9,1024,100010,1021,1021,True,2.112637,2.111302,26
2026-07-05T22:54:21Z,d56328a8-d43f-43ac-ab46-fd9257222a07,aer_simulator,CPU,6,001110,14,6,12,12,12,False,exito,6,5,0.9,1024,001110,1021,1021,True,2.121796,2.120621,26
2026-07-05T22:54:23Z,3f1c084f-a256-4870-9a87-e9462f54ff34,aer_simulator,CPU,6,110101,53,6,12,12,12,False,exito,6,5,0.9,1024,110101,1022,1022,True,2.155237,2.154066,26
2026-07-05T22:54:25Z,81ed1203-da0d-4411-a595-30e8478d2b5b,aer_simulator,CPU,6,001001,9,6,12,12,12,False,exito,6,5,0.9,1024,001001,1023,1023,True,2.245064,2.243713,26
2026-07-05T22:54:28Z,6d4be6f3-a398-4117-a722-33d5294363f6,aer_simulator,CPU,6,001100,12,6,12,12,12,False,exito,6,5,0.9,1024,001100,1023,1023,True,2.274203,2.272904,26
2026-07-05T22:54:30Z,d1556723-f8a7-486f-8569-8feaa322f5ed,aer_simulator,CPU,6,110110,54,6,12,12,12,False,exito,6,5,0.9,1024,110110,1022,1022,True,2.132522,2.131188,26
2026-07-05T22:54:32Z,b2c2f25e-ecaa-47c2-b5cd-f554160a824c,aer_simulator,CPU,6,100110,38,6,12,12,12,False,exito,6,5,0.9,1024,100110,1021,1021,True,2.104097,2.102903,26
2026-07-05T22:54:34Z,0c6e813c-7adc-4167-8feb-6926a0300ee5,aer_simulator,CPU,6,011000,24,6,12,12,12,False,exito,6,5,0.9,1024,011000,1021,1021,True,2.123728,2.122517,26
2026-07-05T22:54:36Z,58b9b9da-9e9f-483d-bc45-e43eaf76fefd,aer_simulator,CPU,6,101111,47,6,12,12,12,False,exito,6,5,0.9,1024,101111,1021,1021,True,2.180522,2.179361,26
2026-07-05T22:54:38Z,4b829bb1-955b-44fa-91f9-606089a7731b,aer_simulator,CPU,6,010110,22,6,12,12,12,False,exito,6,5,0.9,1024,010110,1021,1021,True,2.252716,2.251418,26
