timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-07-05T22:54:43Z,a62f1147-d887-4ca5-9022-4d0102ade5b1,aer_simulator,CPU,8,11000111,199,12,24,24,24,False,exito,12,10,0.9,1024,11000111,1024,1024,True,4.485726,4.48441,50
2026-07-05T22:54:48Z,ceae667d-6401-4a81-bbd7-2b925b009999,aer_simulator,CPU,8,11001000,200,12,24,24,24,False,exito,12,10,0.9,1024,11001000,1024,1024,True,4.780675,4.779316,50
2026-07-05T22:54:52Z,a410e693-8ff1-4d5f-8f91-ac90efb002a0,aer_simulator,CPU,8,10011111,159,12,24,24,24,False,exito,12,10,0.9,1024,10011111,1024,1024,True,4.696304,4.694979,50
2026-07-05T22:54:57Z,d159443f-b3fe-46c6-92fc-cf9b6e42071d,aer_simulator,CPU,8,11011001,217,12,24,24,24,False,exito,12,10,0.9,1024,11011001,1024,1024,True,4.551688,4.55045,50
2026-07-05T22:55:02Z,482ec5d3-2636-4973-8e9c-965b0d242d41,aer_simulator,CPU,8,11001110,206,12,24,24,24,False,exito,12,10,0.9,1024,11001110,1024,1024,True,4.700127,4.698885,50
2026-07-05T22:55:06Z,efdbac12-b520-434f-8ba1-cedfa5b440a0,aer_simulator,CPU,8,01011101,93,12,24,24,24,False,exito,12,10,0.9,1024,01011101,1024,1024,True,4.494595,4.493288,50
2026-07-05T22:55:11Z,ca551833-7919-4765-a352-0c7c568bc983,aer_simulator,CPU,8,00111100,60,12,24,24,24,False,exito,12,10,0.9,1024,00111100,1024,1024,True,4.860502,4.859084,50
2026-07-05T22:55:15Z,1965e38e-2e5b-4c39-9d80-54b75047581e,aer_simulator,CPU,8,01111111,127,12,24,24,24,False,exito,12,10,0.9,1024,01111111,1024,1024,True,4.55517,4.553817,50
2026-07-05T22:55:20Z,edc9b26d-f004-43fd-96a3-53c7656bac01,aer_simulator,CPU,8,11000010,194,12,24,24,24,False,exito,12,10,0.9,1024,11000010,1024,1024,True,4.703181,4.701893,50
2026-07-05T22:55:25Z,f408102b-8d85-4f62-8624-cb6c37759996,aer_simulator,CPU,8,00010110,22,12,24,24,24,False,exito,12,10,0.9,1024,00010110,1024,1024,True,4.509281,4.507865,50
2026-07-05T22:55:29Z,08448034-b549-4594-9cf8-f465c9b2cea5,aer_simulator,CPU,8,11100110,230,12,24,24,24,False,exito,12,10,0.9,1024,11100110,1024,1024,True,4.64031,4.639081,50
2026-07-05T22:55:34Z,cf7db297-8ed7-4d82-aaff-4a112bbcd10a,aer_simulator,CPU,8,00010100,20,12,24,24,24,False,exito,12,10,0.9,1024,00010100,1024,1024,True,4.694258,4.692898,50
2026-07-05T22:55:39Z,b96ef3f3-c553-4c23-bba1-69b045015649,aer_simulator,CPU,8,00010101,21,12,24,24,24,False,exito,12,10,0.9,1024,00010101,1024,1024,True,4.532297,4.531064,50
2026-07-05T22:55:43Z,38e51130-df8f-4ae2-babf-ecd3f11c0ded,aer_simulator,CPU,8,11011111,223,12,24,24,24,False,exito,12,10,0.9,1024,11011111,1024,1024,True,4.67364,4.672403,50
2026-07-05T22:55:48Z,2eb991e6-ad80-427d-9393-b03bf8fbd700,aer_simulator,CPU,8,01010110,86,12,24,24,24,False,exito,12,10,0.9,1024,01010110,1024,1024,True,4.507932,4.506711,50
2026-07-05T22:55:53Z,d7ee1cd1-60c9-4602-9369-e7f0ce6659cd,aer_simulator,CPU,8,00100000,32,12,24,24,24,False,exito,12,10,0.9,1024,00100000,1024,1024,True,4.765483,4.76425,50
2026-07-05T22:55:57Z,3dbcb941-4cce-4883-b441-3d9cfb3b629c,aer_simulator,CPU,8,00001110,14,12,24,24,24,False,exito,12,10,0.9,1024,00001110,1024,1024,True,4.609001,4.607605,50
2026-07-05T22:56:02Z,36c7aafd-4e94-47c1-9a88-3faf2f0dfa31,aer_simulator,CPU,8,10110011,179,12,24,24,24,False,exito,12,10,0.9,1024,10110011,1024,1024,True,4.61017,4.608984,50
2026-07-05T22:56:06Z,a7bde64b-8c29-46df-8e7b-052395f03b96,aer_simulator,CPU,8,00101001,41,12,24,24,24,False,exito,12,10,0.9,1024,00101001,1024,1024,True,4.671321,4.669963,50
2026-07-05T22:56:11Z,9ba79d72-b939-4627-a66f-3915a1409486,aer_simulator,CPU,8,10110101,181,12,24,24,24,False,exito,12,10,0.9,1024,10110101,1024,1024,True,4.600902,4.599675,50
2026-07-05T22:56:16Z,0441752f-65bb-4a9d-b182-8a6985772a5b,aer_simulator,CPU,8,11100010,226,12,24,24,24,False,exito,12,10,0.9,1024,11100010,1024,1024,True,4.752357,4.75098,50
2026-07-05T22:56:20Z,c647f635-0606-4d4f-8a64-872a6c4296d2,aer_simulator,CPU,8,10001101,141,12,24,24,24,False,exito,12,10,0.9,1024,10001101,1024,1024,True,4.534827,4.533615,50
2026-07-05T22:56:25Z,d6a56367-3f4e-4ca4-8ed0-5f53003cd628,aer_simulator,CPU,8,10000110,134,12,24,24,24,False,exito,12,10,0.9,1024,10000110,1024,1024,True,4.666399,4.665158,50
2026-07-05T22:56:29Z,3348701e-19b7-44ac-b7b0-83f13b5a0ca1,aer_simulator,CPU,8,10100011,163,12,24,24,24,False,exito,12,10,0.9,1024,10100011,1024,1024,True,4.527989,4.526587,50
2026-07-05T22:56:34Z,0f93f00d-ad63-4f9c-8f30-77d9689be272,aer_simulator,CPU,8,11101111,239,12,24,24,24,False,exito,12,10,0.9,1024,11101111,1024,1024,True,4.702514,4.701315,50
