timestamp,run_id,backend,backend_version,bits,llave_objetivo_bin,llave_objetivo_int,seed_simulador,seed_transpiler,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,shots,umbral_frecuencia_objetivo,estado_top1,frecuencia_top1,frecuencia_llave,tasa_exito,encontrada,distribucion_mediciones,profundidad_circuito,num_compuertas,num_qubits_auxiliares,ops_por_compuerta,tiempo_total_s,tiempo_busqueda_s
2026-07-05T23:16:43Z,ec525f3d-cf15-4395-b67d-cb893c4ad5dc,qryd_emulator$square,2,6,111110,62,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111110,1022,1022,0.998047,True,"{""111100"": 1, ""011110"": 1, ""111110"": 1022}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",42.839642,42.827446
2026-07-05T23:17:27Z,61d9a1ef-0e32-4a61-99e5-908c05e96a66,qryd_emulator$square,2,6,000110,6,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000110,1022,1022,0.998047,True,"{""000110"": 1022, ""100110"": 1, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 230, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",43.172856,43.161299
2026-07-05T23:18:09Z,f19875ee-575d-41d6-aaef-fd13599af248,qryd_emulator$square,2,6,101100,44,42,42,6,12,12,12,False,exito,6,5,1024,0.9,101100,1022,1022,0.998047,True,"{""101100"": 1022, ""000111"": 1, ""111100"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 228, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.537515,42.525492
2026-07-05T23:18:51Z,cab6539f-3c7b-4bba-9a14-2cf1a854b6ca,qryd_emulator$square,2,6,101101,45,42,42,6,12,12,12,False,exito,6,5,1024,0.9,101101,1023,1023,0.999023,True,"{""110101"": 1, ""101101"": 1023}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 228, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.300216,42.287912
2026-07-05T23:19:34Z,c3ccc321-b86b-4303-b217-53a128bd36ee,qryd_emulator$square,2,6,001001,9,42,42,6,12,12,12,False,exito,6,5,1024,0.9,001001,1023,1023,0.999023,True,"{""001001"": 1023, ""011110"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.381428,42.370009
2026-07-05T23:20:20Z,9c163375-3c70-4e72-aa15-0f2b06e1041b,qryd_emulator$square,2,6,010101,21,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010101,1023,1023,0.999023,True,"{""010101"": 1023, ""101110"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",46.376969,46.365268
2026-07-05T23:21:04Z,a025de2a-e20d-4c3d-b1d6-510282c26537,qryd_emulator$square,2,6,111100,60,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111100,1024,1024,1.0,True,"{""111100"": 1024}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",43.499594,43.488042
2026-07-05T23:21:46Z,2ef7705f-11d2-4972-aa94-2e5e63b91184,qryd_emulator$square,2,6,001010,10,42,42,6,12,12,12,False,exito,6,5,1024,0.9,001010,1023,1023,0.999023,True,"{""001010"": 1023, ""101011"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.438901,42.427854
2026-07-05T23:22:29Z,711a6a40-8cc2-4163-80d5-41d2d0304094,qryd_emulator$square,2,6,100110,38,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100110,1023,1023,0.999023,True,"{""100110"": 1023, ""011110"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 229, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",42.974808,42.963557
2026-07-05T23:23:12Z,9c0b10e2-1e0e-4fb0-937c-c914d51e2bc6,qryd_emulator$square,2,6,010010,18,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010010,1022,1022,0.998047,True,"{""010010"": 1022, ""001110"": 1, ""110101"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.378968,42.36664
2026-07-05T23:23:54Z,c9df9e86-e22d-42de-9a44-ec7152c23bef,qryd_emulator$square,2,6,100010,34,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100010,1022,1022,0.998047,True,"{""100010"": 1022, ""000111"": 1, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 229, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",42.731938,42.720483
2026-07-05T23:24:37Z,3cbfa505-36f7-48e9-8712-d46952b9d756,qryd_emulator$square,2,6,000011,3,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000011,1023,1023,0.999023,True,"{""000011"": 1023, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 230, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",42.595577,42.583541
