timestamp,run_id,backend,backend_version,bits,llave_objetivo_bin,llave_objetivo_int,seed_simulador,seed_transpiler,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,shots,umbral_frecuencia_objetivo,estado_top1,frecuencia_top1,frecuencia_llave,tasa_exito,encontrada,distribucion_mediciones,profundidad_circuito,num_compuertas,num_qubits_auxiliares,ops_por_compuerta,tiempo_total_s,tiempo_busqueda_s
2026-07-05T23:02:54Z,fb5f8c7b-8836-42f3-a441-80c24793e920,qryd_emulator$square,2,4,0110,6,42,42,3,6,6,6,False,exito,3,2,1024,0.9,0110,980,980,0.957031,True,"{""0000"": 1, ""0001"": 2, ""0010"": 3, ""0011"": 5, ""0100"": 5, ""0101"": 1, ""0110"": 980, ""0111"": 2, ""1000"": 3, ""1001"": 5, ""1010"": 2, ""1011"": 4, ""1100"": 3, ""1101"": 3, ""1110"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 47, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2}",9.394624,9.381452
2026-07-05T23:03:04Z,8be2bb4b-53e2-4be9-90d2-9f30e1a8f9bf,qryd_emulator$square,2,4,0100,4,42,42,3,6,6,6,False,exito,3,3,1024,0.9,0100,982,982,0.958984,True,"{""0000"": 1, ""1000"": 2, ""0100"": 982, ""1100"": 2, ""0010"": 4, ""1010"": 3, ""0110"": 3, ""1110"": 2, ""0001"": 3, ""1001"": 5, ""0101"": 2, ""1101"": 4, ""0011"": 3, ""1011"": 3, ""0111"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 48, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 1}",9.529346,9.518193
2026-07-05T23:03:13Z,d936c8e6-30ac-474c-97d7-30fa370b1d66,qryd_emulator$square,2,4,1001,9,42,42,3,6,6,6,False,exito,3,3,1024,0.9,1001,980,980,0.957031,True,"{""0000"": 1, ""0010"": 2, ""0001"": 3, ""0011"": 5, ""0100"": 5, ""0110"": 1, ""0101"": 5, ""0111"": 3, ""1000"": 2, ""1010"": 2, ""1001"": 980, ""1011"": 4, ""1100"": 3, ""1110"": 3, ""1101"": 3, ""1111"": 2}",167,220,0,"{""cx"": 90, ""p"": 60, ""u"": 45, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""x"": 2, ""h"": 1}",9.52849,9.517367
2026-07-05T23:03:23Z,f3c837bf-9fb5-4d85-87aa-baed6f38e435,qryd_emulator$square,2,4,0101,5,42,42,3,6,6,6,False,exito,3,3,1024,0.9,0101,981,981,0.958008,True,"{""0000"": 1, ""0010"": 2, ""1000"": 3, ""1010"": 5, ""0001"": 5, ""0011"": 1, ""1001"": 5, ""1011"": 3, ""0100"": 2, ""0110"": 2, ""1100"": 2, ""1110"": 4, ""0101"": 981, ""0111"": 3, ""1101"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 47, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2}",9.60978,9.598599
2026-07-05T23:03:32Z,f1533eb7-dac2-4d27-8019-607798e123c2,qryd_emulator$square,2,4,1101,13,42,42,3,6,6,6,False,exito,3,2,1024,0.9,1101,977,977,0.954102,True,"{""0000"": 1, ""0100"": 2, ""1000"": 3, ""1100"": 5, ""0001"": 5, ""0101"": 1, ""1001"": 5, ""1101"": 977, ""0010"": 3, ""0110"": 5, ""1010"": 2, ""1110"": 4, ""0011"": 3, ""0111"": 3, ""1011"": 3, ""1111"": 2}",167,220,0,"{""cx"": 90, ""p"": 60, ""u"": 44, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2, ""x"": 2}",9.433853,9.422509
2026-07-05T23:03:42Z,f8a11136-d7e2-4a9a-aef3-527b0954e32d,qryd_emulator$square,2,4,0101,5,42,42,3,6,6,6,False,exito,3,3,1024,0.9,0101,981,981,0.958008,True,"{""0000"": 1, ""0001"": 2, ""0100"": 3, ""0101"": 981, ""0010"": 4, ""0011"": 3, ""0110"": 3, ""0111"": 2, ""1000"": 3, ""1001"": 5, ""1100"": 2, ""1101"": 4, ""1010"": 3, ""1011"": 3, ""1110"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 47, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2}",9.28434,9.27302
2026-07-05T23:03:51Z,57d1c439-89a7-463e-ab9b-a8d5d3a83bb8,qryd_emulator$square,2,4,1011,11,42,42,3,6,6,6,False,exito,3,2,1024,0.9,1011,982,982,0.958984,True,"{""0000"": 1, ""0100"": 2, ""0001"": 3, ""0101"": 5, ""0010"": 5, ""0110"": 1, ""0011"": 5, ""0111"": 3, ""1000"": 2, ""1100"": 2, ""1001"": 2, ""1101"": 4, ""1010"": 2, ""1110"": 3, ""1011"": 982, ""1111"": 2}",167,220,0,"{""cx"": 90, ""p"": 60, ""u"": 44, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2, ""x"": 2}",9.455506,9.443757
2026-07-05T23:04:00Z,ca0e53b2-0d0e-4e52-bf78-fc7bfafe6ade,qryd_emulator$square,2,4,0011,3,42,42,3,6,6,6,False,exito,3,3,1024,0.9,0011,980,980,0.957031,True,"{""0000"": 1, ""0001"": 2, ""1000"": 3, ""1001"": 5, ""0100"": 5, ""0101"": 1, ""1100"": 5, ""1101"": 3, ""0010"": 2, ""0011"": 980, ""1010"": 2, ""1011"": 4, ""0110"": 3, ""0111"": 3, ""1110"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 47, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2}",9.204079,9.192041
2026-07-05T23:04:10Z,c38c8d1b-de24-4d62-be8b-9e3a05593ac3,qryd_emulator$square,2,4,1011,11,42,42,3,6,6,6,False,exito,3,2,1024,0.9,1011,982,982,0.958984,True,"{""0000"": 1, ""0100"": 2, ""1000"": 3, ""1100"": 5, ""0010"": 5, ""0110"": 1, ""1010"": 5, ""1110"": 3, ""0001"": 2, ""0101"": 2, ""1001"": 2, ""1101"": 4, ""0011"": 2, ""0111"": 3, ""1011"": 982, ""1111"": 2}",167,220,0,"{""cx"": 90, ""p"": 60, ""u"": 44, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2, ""x"": 2}",9.554718,9.542818
2026-07-05T23:04:19Z,39082575-54d1-453d-aa9e-5bffa79b5f38,qryd_emulator$square,2,4,0010,2,42,42,3,6,6,6,False,exito,3,2,1024,0.9,0010,978,978,0.955078,True,"{""0000"": 1, ""0010"": 978, ""1000"": 6, ""1010"": 2, ""0100"": 4, ""0110"": 3, ""1100"": 3, ""1110"": 2, ""0001"": 3, ""0011"": 5, ""1001"": 2, ""1011"": 4, ""0101"": 3, ""0111"": 3, ""1101"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 48, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 1}",9.596748,9.583196
2026-07-05T23:04:29Z,f91651d8-8b93-453e-999a-0d9a01dc5431,qryd_emulator$square,2,4,0101,5,42,42,3,6,6,6,False,exito,3,2,1024,0.9,0101,980,980,0.957031,True,"{""0000"": 1, ""1000"": 2, ""0001"": 3, ""1001"": 5, ""0010"": 5, ""1010"": 1, ""0011"": 5, ""1011"": 3, ""0100"": 2, ""1100"": 2, ""0101"": 980, ""1101"": 4, ""0110"": 3, ""1110"": 3, ""0111"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 47, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 2}",9.507171,9.496024
2026-07-05T23:04:38Z,20fa6955-ce1c-40b5-ab39-c1b188738e0b,qryd_emulator$square,2,4,0111,7,42,42,3,6,6,6,False,exito,3,2,1024,0.9,0111,982,982,0.958984,True,"{""0000"": 1, ""1000"": 2, ""0100"": 3, ""1100"": 5, ""0001"": 5, ""1001"": 1, ""0101"": 5, ""1101"": 3, ""0010"": 2, ""1010"": 2, ""0110"": 2, ""1110"": 4, ""0011"": 2, ""1011"": 3, ""0111"": 982, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 46, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 3}",9.292278,9.279316
2026-07-05T23:04:48Z,e13a821f-9f7f-4758-80ff-68b95e447256,qryd_emulator$square,2,4,0100,4,42,42,3,6,6,6,False,exito,3,3,1024,0.9,0100,980,980,0.957031,True,"{""0000"": 1, ""1000"": 2, ""0010"": 3, ""1010"": 5, ""0100"": 980, ""1100"": 3, ""0110"": 3, ""1110"": 2, ""0001"": 3, ""1001"": 5, ""0011"": 2, ""1011"": 4, ""0101"": 3, ""1101"": 3, ""0111"": 3, ""1111"": 2}",167,221,0,"{""cx"": 90, ""p"": 60, ""u"": 48, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""h"": 1}",9.510057,9.496304
2026-07-05T23:04:57Z,39a6ac87-4a54-4b8a-8c11-7a9af800bc13,qryd_emulator$square,2,4,1000,8,42,42,3,6,6,6,False,exito,3,3,1024,0.9,1000,980,980,0.957031,True,"{""0000"": 1, ""0010"": 2, ""0001"": 3, ""0011"": 5, ""1000"": 980, ""1010"": 3, ""1001"": 3, ""1011"": 2, ""0100"": 3, ""0110"": 5, ""0101"": 2, ""0111"": 4, ""1100"": 3, ""1110"": 3, ""1101"": 3, ""1111"": 2}",167,220,0,"{""cx"": 90, ""p"": 60, ""u"": 46, ""rz"": 12, ""cp"": 6, ""measure"": 4, ""x"": 2}",9.543205,9.529891
