timestamp,run_id,backend,backend_version,bits,llave_objetivo_bin,llave_objetivo_int,seed_simulador,seed_transpiler,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,shots,umbral_frecuencia_objetivo,estado_top1,frecuencia_top1,frecuencia_llave,tasa_exito,encontrada,distribucion_mediciones,profundidad_circuito,num_compuertas,num_qubits_auxiliares,ops_por_compuerta,tiempo_total_s,tiempo_busqueda_s
2026-07-05T23:01:47Z,46b74fd1-5bd9-4d88-bbc0-a69342a6beb6,qryd_emulator$square,2,2,10,2,42,42,1,2,2,2,False,exito,1,1,1024,0.9,10,1024,1024,1.0,True,"{""10"": 1024}",6,10,0,"{""u"": 5, ""measure"": 2, ""h"": 1, ""cp"": 1, ""cx"": 1}",2.938902,2.928152
2026-07-05T23:01:49Z,a25b5e19-9bd6-46c4-8794-1d801a891149,qryd_emulator$square,2,2,00,0,42,42,1,2,2,2,False,exito,1,1,1024,0.9,00,1024,1024,1.0,True,"{""00"": 1024}",6,10,0,"{""u"": 6, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.413461,2.401278
2026-07-05T23:01:52Z,a61184f9-fbf4-42ff-96aa-dc753c0ab02b,qryd_emulator$square,2,2,00,0,42,42,1,2,2,2,False,exito,1,1,1024,0.9,00,1024,1024,1.0,True,"{""00"": 1024}",6,10,0,"{""u"": 6, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.455617,2.443104
2026-07-05T23:01:54Z,cf2d94a5-68fd-4aac-9fef-361b118fbf35,qryd_emulator$square,2,2,11,3,42,42,1,2,2,2,False,exito,1,1,1024,0.9,11,1024,1024,1.0,True,"{""11"": 1024}",6,10,0,"{""u"": 4, ""h"": 2, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.41632,2.405836
2026-07-05T23:01:56Z,2af7af1b-0af1-4379-9869-4b61407cf572,qryd_emulator$square,2,2,10,2,42,42,1,2,2,2,False,exito,1,1,1024,0.9,10,1024,1024,1.0,True,"{""10"": 1024}",6,10,0,"{""u"": 5, ""measure"": 2, ""h"": 1, ""cp"": 1, ""cx"": 1}",2.451284,2.440663
2026-07-05T23:01:59Z,51c1ca26-45a9-421e-89ce-05286c8c9a28,qryd_emulator$square,2,2,01,1,42,42,1,2,2,2,False,exito,1,1,1024,0.9,01,1024,1024,1.0,True,"{""01"": 1024}",6,10,0,"{""u"": 5, ""measure"": 2, ""h"": 1, ""cp"": 1, ""cx"": 1}",2.449158,2.438562
2026-07-05T23:02:01Z,7da89f94-0ba0-489a-a134-cc6ce66e96d4,qryd_emulator$square,2,2,11,3,42,42,1,2,2,2,False,exito,1,1,1024,0.9,11,1024,1024,1.0,True,"{""11"": 1024}",6,10,0,"{""u"": 4, ""h"": 2, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.404405,2.393654
2026-07-05T23:02:04Z,35dc0f17-a718-49f2-8eb4-b2ceedb93249,qryd_emulator$square,2,2,11,3,42,42,1,2,2,2,False,exito,1,1,1024,0.9,11,1024,1024,1.0,True,"{""11"": 1024}",6,10,0,"{""u"": 4, ""h"": 2, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.434852,2.422135
2026-07-05T23:02:06Z,1be66276-cbc8-458a-91d8-1598bdf67564,qryd_emulator$square,2,2,00,0,42,42,1,2,2,2,False,exito,1,1,1024,0.9,00,1024,1024,1.0,True,"{""00"": 1024}",6,10,0,"{""u"": 6, ""measure"": 2, ""cp"": 1, ""cx"": 1}",2.398281,2.38762
2026-07-05T23:02:09Z,c705394f-f3ba-4925-9805-b1caafb9a39e,qryd_emulator$square,2,2,01,1,42,42,1,2,2,2,False,exito,1,1,1024,0.9,01,1024,1024,1.0,True,"{""01"": 1024}",6,10,0,"{""u"": 5, ""measure"": 2, ""h"": 1, ""cp"": 1, ""cx"": 1}",2.409285,2.398582
