timestamp,run_id,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_requeridas,tiempo_busqueda_s
2026-07-05T22:53:08Z,7b34c2c5-061b-49df-adc9-e1ce091f30ef,8,00100010,34,35,2e-06
2026-07-05T22:53:08Z,391613d2-57b4-43be-913d-fccb69e4ec96,8,00010011,19,20,2e-06
2026-07-05T22:53:08Z,7fd5c852-1a66-44d3-a36f-0bcf81862607,8,11101000,232,233,1e-05
2026-07-05T22:53:08Z,3656b7e9-b12d-4cf2-a67d-f48060822820,8,11011011,219,220,1e-05
2026-07-05T22:53:08Z,02e4a73a-8631-44f9-8163-21f57533f8b6,8,01100000,96,97,5e-06
2026-07-05T22:53:08Z,9b10a001-b86d-4774-9202-0a594a7dc4c8,8,01111100,124,125,6e-06
2026-07-05T22:53:08Z,4aee73c9-d8aa-420a-8d91-460dc49c5a89,8,10011010,154,155,7e-06
2026-07-05T22:53:08Z,38d76dd1-e1e8-49f9-816a-5fb5e1ba4eca,8,00010011,19,20,2e-06
2026-07-05T22:53:08Z,3fed6415-dc89-4ded-ae38-e0c346e30cbe,8,00111110,62,63,4e-06
2026-07-05T22:53:08Z,893c9369-355b-478d-a3ff-a91634fb87b0,8,01000111,71,72,4e-06
2026-07-05T22:53:08Z,58c05e79-8c2c-4602-876d-a67a0cc7a639,8,00001000,8,9,2e-06
2026-07-05T22:53:08Z,ded0bcdb-8f61-44c2-b794-32f242dc34b5,8,00000110,6,7,2e-06
2026-07-05T22:53:08Z,001c1bdc-a047-4349-a51b-62d6dfbd48f7,8,01111110,126,127,6e-06
2026-07-05T22:53:08Z,d2fa349b-4d90-4fe9-a836-1da930af4f2f,8,10100000,160,161,7e-06
2026-07-05T22:53:08Z,4dd9bf7e-3b24-4d38-9029-dbaafa5d828f,8,00110100,52,53,3e-06
2026-07-05T22:53:08Z,f915d4ae-d1b6-4939-aea7-6a266390cb56,8,01110101,117,118,6e-06
2026-07-05T22:53:08Z,6ad12c6a-94e4-452c-8e02-48254e099ac0,8,10100001,161,162,7e-06
2026-07-05T22:53:08Z,db1714f0-53f8-4b91-8917-74062388cdb0,8,11101010,234,235,1e-05
2026-07-05T22:53:08Z,5ac42d4a-45fb-4ad4-a18c-45d35bfa163a,8,11101011,235,236,1e-05
2026-07-05T22:53:08Z,2c46d644-cb45-472f-8072-a61515635f10,8,01001000,72,73,4e-06
2026-07-05T22:53:08Z,a68bebdc-5fa1-4dc5-8350-9351aecbc2d4,8,10001010,138,139,7e-06
2026-07-05T22:53:08Z,53d03f13-3514-4795-b417-a24fde9b45fd,8,11001000,200,201,9e-06
2026-07-05T22:53:08Z,46e9a462-f1b7-4b01-b7ff-f754ba0d425a,8,00110001,49,50,3e-06
2026-07-05T22:53:08Z,4ef56669-e31c-4fce-beb3-f2da391f0f29,8,00010000,16,17,2e-06
2026-07-05T22:53:08Z,13fdfbb7-8a24-4c28-9f47-53d7f730c3eb,8,00111011,59,60,3e-06
