timestamp,run_id,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_requeridas,tiempo_busqueda_s
2026-07-05T22:53:08Z,79c7dc51-da36-4b10-a624-7c50e528231e,6,101111,47,48,3e-06
2026-07-05T22:53:08Z,60b9a8d5-0533-4dab-84b9-9ae5d18c42e9,6,111000,56,57,3e-06
2026-07-05T22:53:08Z,09bcb5ad-a01b-4251-8db5-098ed555bb1a,6,000001,1,2,1e-06
2026-07-05T22:53:08Z,01be2369-30f8-400f-8d7a-878ae15861a1,6,110100,52,53,3e-06
2026-07-05T22:53:08Z,b3d9b26b-e3e2-4f36-9d99-78ee395eca0b,6,000100,4,5,1e-06
2026-07-05T22:53:08Z,7b14adee-1ec2-45f9-824e-25c74c249b39,6,000111,7,8,2e-06
2026-07-05T22:53:08Z,da34bef9-0a87-44b4-9fa4-45b41fa9a294,6,010000,16,17,2e-06
2026-07-05T22:53:08Z,74f7581a-43f1-45ff-a431-e7b0c72e337a,6,011110,30,31,2e-06
2026-07-05T22:53:08Z,76231ae0-d241-4253-a1c9-9c3171608675,6,110011,51,52,3e-06
2026-07-05T22:53:08Z,5a829242-e157-4572-94f8-d0b3c4e942e7,6,111100,60,61,4e-06
2026-07-05T22:53:08Z,77f03eec-4ef4-480f-82c2-1d7a8e38d5c7,6,010001,17,18,2e-06
2026-07-05T22:53:08Z,84986e83-71f0-457e-8c67-ece14a8416cc,6,010110,22,23,2e-06
2026-07-05T22:53:08Z,50fe63e4-71d7-4ef4-a225-f442ceb3cbf0,6,111011,59,60,3e-06
2026-07-05T22:53:08Z,322f7d26-144d-4998-b81c-c4c1d1a60323,6,110101,53,54,3e-06
2026-07-05T22:53:08Z,960b3b94-9042-45d4-93f4-0aa8174ede1f,6,101101,45,46,3e-06
2026-07-05T22:53:08Z,4f6197b5-e737-4b70-82e7-1d1e54a2fccd,6,001010,10,11,2e-06
2026-07-05T22:53:08Z,4dbe2d82-e86d-4ffc-bb8f-5c3ecb0054bd,6,101110,46,47,3e-06
2026-07-05T22:53:08Z,1a0036ab-2858-4345-8688-f91bca40f62e,6,101010,42,43,3e-06
2026-07-05T22:53:08Z,d1e18740-b6f4-40be-afe3-d20a69c14010,6,110101,53,54,3e-06
2026-07-05T22:53:08Z,32e122ab-8d28-4d5d-8434-000845c52a0c,6,001010,10,11,2e-06
2026-07-05T22:53:08Z,a456079c-fa59-452d-994f-0e3b9b61fa89,6,111101,61,62,4e-06
2026-07-05T22:53:08Z,6dc668d7-2856-4e73-ae96-9bc9a2e65fc3,6,000010,2,3,1e-06
2026-07-05T22:53:08Z,a06f7aba-ab26-4fd4-b4f4-c0ed540eeec4,6,001110,14,15,2e-06
2026-07-05T22:53:08Z,49424d72-5d16-40c4-a5e2-a1df20e9214b,6,010110,22,23,2e-06
2026-07-05T22:53:08Z,c083cb46-ed41-4241-b249-892ac0c57688,6,100011,35,36,3e-06
