timestamp,run_id,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_requeridas,tiempo_busqueda_s
2026-07-05T22:53:08Z,bf852c34-82cc-4ae4-ab42-732003e0e1cc,2,10,2,3,2e-06
2026-07-05T22:53:08Z,188f0a31-f0ef-45c1-80dc-533b516d5dbc,2,11,3,4,2e-06
2026-07-05T22:53:08Z,36aa174b-9083-4357-8968-3eea2213d12d,2,11,3,4,1e-06
2026-07-05T22:53:08Z,70cea4dd-6af8-4a3a-b07d-35709dbe58bd,2,10,2,3,1e-06
2026-07-05T22:53:08Z,218f1cd1-6c16-41ec-a24d-99a8c123233d,2,10,2,3,1e-06
2026-07-05T22:53:08Z,18e2d761-efb0-4264-961e-e4df18d79c64,2,10,2,3,1e-06
2026-07-05T22:53:08Z,7507a39a-face-4060-a679-fd324d78cfab,2,00,0,1,1e-06
2026-07-05T22:53:08Z,5c875ad9-d3da-4e12-ad94-369ecfe860ee,2,00,0,1,1e-06
2026-07-05T22:53:08Z,d0b97ef7-0436-4588-b9cf-663f1e3c3eaa,2,01,1,2,1e-06
2026-07-05T22:53:08Z,debd8802-7170-42ae-96cb-35c5f8e98b37,2,11,3,4,2e-06
2026-07-05T22:53:08Z,41d0e011-5fda-437b-8950-f2b9e0a78f43,2,01,1,2,1e-06
2026-07-05T22:53:08Z,b9d69c5f-3326-4a78-af42-b90ac9416158,2,00,0,1,1e-06
2026-07-05T22:53:08Z,87d748cf-07f9-42c3-a994-6e45956f1b06,2,00,0,1,1e-06
2026-07-05T22:53:08Z,f091163a-dc4d-4297-b7c7-519745d69c08,2,01,1,2,1e-06
2026-07-05T22:53:08Z,916daee9-4517-4872-a61b-d830d1f4aa43,2,11,3,4,1e-06
2026-07-05T22:53:08Z,4c66ee23-b97c-4639-9fc6-6d926cee1725,2,01,1,2,1e-06
2026-07-05T22:53:08Z,6552a3f9-2f23-44bf-9862-01be7764a2d2,2,10,2,3,1e-06
2026-07-05T22:53:08Z,5559afe2-b0a1-4526-b034-18c3e1d93da9,2,10,2,3,1e-06
2026-07-05T22:53:08Z,9854a521-797a-4d82-80d7-fd22fc00d1ba,2,00,0,1,1e-06
2026-07-05T22:53:08Z,9f283bb6-ca84-4ba6-91a5-2c879e473172,2,11,3,4,1e-06
2026-07-05T22:53:08Z,9dd5f91f-b904-4a46-b755-0b7280436a91,2,00,0,1,1e-06
2026-07-05T22:53:08Z,384b2308-81e1-4fb0-854e-41195bc6dc92,2,00,0,1,1e-06
2026-07-05T22:53:08Z,a5b511f2-3189-4cb3-a378-1a0949f95abd,2,11,3,4,1e-06
2026-07-05T22:53:08Z,913f44f2-8b53-4ff6-a773-0da06684b3d1,2,01,1,2,1e-06
2026-07-05T22:53:08Z,f5ca0824-6e98-40a8-ab13-3a4fa1ef5d3c,2,10,2,3,1e-06
