timestamp,run_id,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_requeridas,tiempo_busqueda_s
2026-06-01T00:34:25Z,560d73b2-ce62-4529-b7f0-ffeb5c891f21,8,01011001,89,90,4e-06
2026-06-01T00:34:25Z,e70f5e12-d10a-4f93-adaa-6acf01abfc9d,8,01010100,84,85,4e-06
2026-06-01T00:34:25Z,4e102306-adec-4590-baff-f619242b182a,8,01010010,82,83,4e-06
2026-06-01T00:34:25Z,7a8ce954-3e09-4422-9a84-382c8d5c462b,8,11101101,237,238,1e-05
2026-06-01T00:34:25Z,d3344d93-ae24-424c-bba5-be6c67b38657,8,01011100,92,93,5e-06
2026-06-01T00:34:25Z,1cd2bd5f-1331-4e11-9bbf-decd81939d49,8,01101101,109,110,5e-06
2026-06-01T00:34:25Z,23d909c4-a3a5-49be-9cc0-e3c512d4c7c1,8,01100101,101,102,5e-06
2026-06-01T00:34:25Z,1eb60b28-0bdc-4efb-97f3-518ff61dcd91,8,01100000,96,97,5e-06
2026-06-01T00:34:25Z,5f0b1e34-c43f-4ca0-97b7-4b050bead95e,8,11000110,198,199,9e-06
2026-06-01T00:34:25Z,692d1d0f-74d9-4573-a55d-d017628627a5,8,11011000,216,217,9e-06
2026-06-01T00:34:25Z,ee7dc244-4f7c-466e-8504-84ff7efda164,8,01011011,91,92,5e-06
2026-06-01T00:34:25Z,4fc9910e-bb6f-4478-b99b-97f98f8b37a9,8,10010110,150,151,7e-06
2026-06-01T00:34:25Z,56b05345-1d51-40a3-b991-9d21983e821a,8,00011010,26,27,2e-06
2026-06-01T00:34:25Z,febcb78d-a175-4b4f-934d-62a07b5e1b23,8,00000110,6,7,1e-06
2026-06-01T00:34:25Z,41ffb3bb-1487-403e-a557-2b63e38423a0,8,10000100,132,133,6e-06
2026-06-01T00:34:25Z,56e318ae-84c1-4b3b-9d44-8117834ee104,8,01111100,124,125,6e-06
2026-06-01T00:34:25Z,40ba9c1d-a846-4be5-8f67-4f9d489200ed,8,00011010,26,27,2e-06
2026-06-01T00:34:25Z,5fe8d4f0-3d58-4ba1-beae-585a78371b9d,8,10110111,183,184,8e-06
2026-06-01T00:34:25Z,a717df47-bff5-4385-a353-a85939b20fb2,8,10100000,160,161,7e-06
2026-06-01T00:34:25Z,bb3437c2-1309-4647-9ec5-83db3b502813,8,00101011,43,44,3e-06
2026-06-01T00:34:25Z,406d5c9b-883a-4701-9be7-c5351459a38f,8,11111100,252,253,1.1e-05
2026-06-01T00:34:25Z,f83b0e03-6c89-4c49-919b-b8efb0192678,8,00100001,33,34,2e-06
2026-06-01T00:34:25Z,9958956b-e50e-4b0a-b088-2ebd99be5976,8,01010100,84,85,4e-06
2026-06-01T00:34:25Z,08465e0c-8a38-430f-8b88-48807dd08823,8,11011111,223,224,1e-05
2026-06-01T00:34:25Z,d856e28f-e05e-47d7-8b3c-afd160152261,8,00001010,10,11,1e-06
