timestamp,run_id,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_requeridas,tiempo_busqueda_s
2026-06-01T00:34:25Z,96fbc0d9-f8ae-4cb4-9c71-25a3fcbb66a9,4,0101,5,6,1e-06
2026-06-01T00:34:25Z,cedc48da-9e5d-47e6-ac20-756161b75d26,4,1011,11,12,2e-06
2026-06-01T00:34:25Z,8ade8609-832c-4d66-90f8-635be2220d24,4,0110,6,7,1e-06
2026-06-01T00:34:25Z,b8da72c5-d19c-4c1f-82c1-e583ebe968ed,4,1001,9,10,1e-06
2026-06-01T00:34:25Z,e8306eda-2a9e-4252-bde1-fb29e46150b6,4,0011,3,4,1e-06
2026-06-01T00:34:25Z,232440a5-733b-41ac-a103-2c05fc5d2ecf,4,1111,15,16,2e-06
2026-06-01T00:34:25Z,0fcc1098-f564-4878-aa71-4b7c4f1dabc4,4,0000,0,1,1e-06
2026-06-01T00:34:25Z,a5aba403-dafc-4d27-9f8d-186836135492,4,0110,6,7,1e-06
2026-06-01T00:34:25Z,b391c8de-e2ce-446b-9df5-43687d033df8,4,0101,5,6,1e-06
2026-06-01T00:34:25Z,1a5a9f2c-de7c-42cd-bf16-fdbddd1ebf79,4,1100,12,13,2e-06
2026-06-01T00:34:25Z,8ac8dfab-20b1-4bef-8ec2-f84955e6c13a,4,0100,4,5,1e-06
2026-06-01T00:34:25Z,c132d7e3-6d24-4e23-bcc5-25c0dd33e092,4,0110,6,7,1e-06
2026-06-01T00:34:25Z,e99310fa-98f0-424b-b9b5-2140e7c99bb1,4,1111,15,16,2e-06
2026-06-01T00:34:25Z,5d5b7c49-478c-43f1-804d-920c14a42526,4,1101,13,14,2e-06
2026-06-01T00:34:25Z,01157ed2-36da-403f-9c18-c517056fca46,4,1100,12,13,2e-06
2026-06-01T00:34:25Z,2be99fa5-8d8c-41c2-bf6f-5233156c2b65,4,0011,3,4,1e-06
2026-06-01T00:34:25Z,03f43c4a-8f55-4af5-ba83-78203e316dd9,4,1000,8,9,1e-06
2026-06-01T00:34:25Z,75369a8c-8c6b-4c82-8b45-c377c30c4f9e,4,0111,7,8,1e-06
2026-06-01T00:34:25Z,36174b38-270e-476b-b11d-0955ee1aa1c5,4,0000,0,1,1e-06
2026-06-01T00:34:25Z,5f76a584-c3b4-4bff-971b-c57609deefe9,4,1011,11,12,2e-06
2026-06-01T00:34:25Z,3697fd30-ddcd-4547-921d-1989cff6f990,4,1100,12,13,2e-06
2026-06-01T00:34:25Z,529a50a4-fa62-4e89-bd85-168c5e1b6c36,4,0001,1,2,1e-06
2026-06-01T00:34:25Z,5566ba0a-1a1c-4d1a-9f76-0f7d677bd2cd,4,0110,6,7,1e-06
2026-06-01T00:34:25Z,f0c400d9-776a-4592-9912-c761c4185ac9,4,1000,8,9,1e-06
2026-06-01T00:34:25Z,fc09a864-9ca5-4547-8406-d2c10b4943e0,4,0010,2,3,1e-06
